Model,Framework,Scenario,Problem,Runs,Successes
claude-3.5-sonnet,react,ecommerce,addToCart,10,10
claude-3.5-sonnet,react,ecommerce,applyDiscountCode,10,10
claude-3.5-sonnet,react,ecommerce,applyLoyaltyPoints,10,10
claude-3.5-sonnet,react,ecommerce,approveOrDisapproveReviews,10,0
claude-3.5-sonnet,react,ecommerce,calculateCartSubtotal,10,10
claude-3.5-sonnet,react,ecommerce,calculateShippingCost,10,10
claude-3.5-sonnet,react,ecommerce,calculateTaxes,10,10
claude-3.5-sonnet,react,ecommerce,calculateTotalCost,10,10
claude-3.5-sonnet,react,ecommerce,calculateTotalWithDiscount,10,10
claude-3.5-sonnet,react,ecommerce,deleteProductReview,10,10
claude-3.5-sonnet,react,ecommerce,displayAverageRating,10,10
claude-3.5-sonnet,react,ecommerce,displayProductDetails,10,0
claude-3.5-sonnet,react,ecommerce,displayRelatedProducts,10,10
claude-3.5-sonnet,react,ecommerce,displayStockStatus,10,10
claude-3.5-sonnet,react,ecommerce,displayTotalReviews,10,10
claude-3.5-sonnet,react,ecommerce,filterByBrand,10,10
claude-3.5-sonnet,react,ecommerce,filterByCategory,10,10
claude-3.5-sonnet,react,ecommerce,filterByPriceRange,10,10
claude-3.5-sonnet,react,ecommerce,filterReviewsByRating,10,10
claude-3.5-sonnet,react,ecommerce,flagInappropriateReviews,10,10
claude-3.5-sonnet,react,ecommerce,generateInvoice,10,10
claude-3.5-sonnet,react,ecommerce,generateOrderConfirmationNumber,10,10
claude-3.5-sonnet,react,ecommerce,handlePaymentFailures,10,10
claude-3.5-sonnet,react,ecommerce,paginateProductListings,10,10
claude-3.5-sonnet,react,ecommerce,processBankTransferPayment,10,10
claude-3.5-sonnet,react,ecommerce,processCreditCardPayment,10,10
claude-3.5-sonnet,react,ecommerce,processPayment,10,10
claude-3.5-sonnet,react,ecommerce,processPayPalPayment,10,10
claude-3.5-sonnet,react,ecommerce,refundPayment,10,10
claude-3.5-sonnet,react,ecommerce,removeFromCart,10,10
claude-3.5-sonnet,react,ecommerce,saveCartState,10,10
claude-3.5-sonnet,react,ecommerce,saveOrderDetails,10,10
claude-3.5-sonnet,react,ecommerce,saveTransactionDetails,10,10
claude-3.5-sonnet,react,ecommerce,searchByKeyword,10,10
claude-3.5-sonnet,react,ecommerce,sendOrderConfirmationEmail,10,10
claude-3.5-sonnet,react,ecommerce,sortByPriceAsc,10,10
claude-3.5-sonnet,react,ecommerce,sortByRatingHigh,10,10
claude-3.5-sonnet,react,ecommerce,sortReviewsByDate,10,10
claude-3.5-sonnet,react,ecommerce,sortReviewsByHelpfulness,10,10
claude-3.5-sonnet,react,ecommerce,updateCartQuantity,10,10
claude-3.5-sonnet,react,ecommerce,updateProductReview,10,10
claude-3.5-sonnet,react,ecommerce,updateProductStock,10,10
claude-3.5-sonnet,react,ecommerce,validateBillingAddress,10,10
claude-3.5-sonnet,react,ecommerce,validateCreditCardNumber,10,10
claude-3.5-sonnet,react,ecommerce,validateCVV,10,10
claude-3.5-sonnet,react,ecommerce,validateExpirationDate,10,10
claude-3.5-sonnet,react,ecommerce,validatePaymentInformation,10,10
claude-3.5-sonnet,react,ecommerce,validateShippingAddress,10,10
claude-3.5-sonnet,react,ecommerce,verifyPaymentConfirmation,10,10
claude-3.5-sonnet,react,eventmanagement,attendeeDetailUpdate,10,10
claude-3.5-sonnet,react,eventmanagement,attendeeEmail,10,10
claude-3.5-sonnet,react,eventmanagement,attendeeName,10,10
claude-3.5-sonnet,react,eventmanagement,attendeePhoneNumber,10,10
claude-3.5-sonnet,react,eventmanagement,confirmationEmail,10,10
claude-3.5-sonnet,react,eventmanagement,dietaryRestrictions,10,10
claude-3.5-sonnet,react,eventmanagement,duplicateRegistrations,10,10
claude-3.5-sonnet,react,eventmanagement,eventAccessibilityOptions,10,10
claude-3.5-sonnet,react,eventmanagement,eventAnalytics,10,10
claude-3.5-sonnet,react,eventmanagement,eventArchiving,10,10
claude-3.5-sonnet,react,eventmanagement,eventCancellation,10,10
claude-3.5-sonnet,react,eventmanagement,eventDuplication,10,10
claude-3.5-sonnet,react,eventmanagement,eventNotifications,10,10
claude-3.5-sonnet,react,eventmanagement,eventSearch,10,10
claude-3.5-sonnet,react,eventmanagement,eventUpdates,10,10
claude-3.5-sonnet,react,eventmanagement,feedbackForms,10,10
claude-3.5-sonnet,react,eventmanagement,groupRegistrations,10,10
claude-3.5-sonnet,react,eventmanagement,registrationDeadline,10,10
claude-3.5-sonnet,react,eventmanagement,specialRequests,10,10
claude-3.5-sonnet,react,eventmanagement,sponsorDisplay,10,10
claude-3.5-sonnet,react,eventmanagement,validateAgendaItemCategorization,10,10
claude-3.5-sonnet,react,eventmanagement,validateAgendaItemDescription,10,10
claude-3.5-sonnet,react,eventmanagement,validateAgendaItemTiming,10,10
claude-3.5-sonnet,react,eventmanagement,validateAgendaItemTitle,10,10
claude-3.5-sonnet,react,eventmanagement,validateAgendaUpdates,10,10
claude-3.5-sonnet,react,eventmanagement,validateCalendarExport,10,10
claude-3.5-sonnet,react,eventmanagement,validateConcurrentSessions,10,10
claude-3.5-sonnet,react,eventmanagement,validateEventCategory,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventDescription,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventEndDate,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventImageUpload,10,10
claude-3.5-sonnet,react,eventmanagement,validateEventLocation,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventStartDate,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventTags,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventTitle,10,0
claude-3.5-sonnet,react,eventmanagement,validateEventType,10,0
claude-3.5-sonnet,react,eventmanagement,validateMaximumAttendees,10,0
claude-3.5-sonnet,react,eventmanagement,validateScheduledBreaks,10,10
claude-3.5-sonnet,react,eventmanagement,validateSessionReminders,10,10
claude-3.5-sonnet,react,eventmanagement,validateSoldOutTickets,10,0
claude-3.5-sonnet,react,eventmanagement,validateSpeakerAssignment,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketDescription,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketDiscounts,10,0
claude-3.5-sonnet,react,eventmanagement,validateTicketDuplication,10,0
claude-3.5-sonnet,react,eventmanagement,validateTicketPrice,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketQuantity,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketRefunds,10,0
claude-3.5-sonnet,react,eventmanagement,validateTicketSalesEndDate,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketSalesStartDate,10,10
claude-3.5-sonnet,react,eventmanagement,validateTicketType,10,10
claude-3.5-sonnet,react,fitnesstracking,awardBadgesForMilestones,10,10
claude-3.5-sonnet,react,fitnesstracking,calculateCyclingSpeed,10,10
claude-3.5-sonnet,react,fitnesstracking,calculateDailyCalorieIntake,10,10
claude-3.5-sonnet,react,fitnesstracking,calculateRunningPace,10,10
claude-3.5-sonnet,react,fitnesstracking,caloriesBurned,10,10
claude-3.5-sonnet,react,fitnesstracking,categorizeActivity,10,10
claude-3.5-sonnet,react,fitnesstracking,compareCalorieIntakeToGoal,10,0
claude-3.5-sonnet,react,fitnesstracking,compareProgressWithFriends,10,10
claude-3.5-sonnet,react,fitnesstracking,connectWearableDevice,10,10
claude-3.5-sonnet,react,fitnesstracking,createActivity,10,10
claude-3.5-sonnet,react,fitnesstracking,customWorkoutPlans,10,10
claude-3.5-sonnet,react,fitnesstracking,dailyGoalAchievementNotification,10,0
claude-3.5-sonnet,react,fitnesstracking,deleteActivity,10,10
claude-3.5-sonnet,react,fitnesstracking,deleteDailyGoal,10,10
claude-3.5-sonnet,react,fitnesstracking,detailedStatistics,10,10
claude-3.5-sonnet,react,fitnesstracking,editActivity,10,10
claude-3.5-sonnet,react,fitnesstracking,editDailyGoal,10,10
claude-3.5-sonnet,react,fitnesstracking,evaluateCustomWorkoutPlans,10,10
claude-3.5-sonnet,react,fitnesstracking,exportDataToCsv,10,10
claude-3.5-sonnet,react,fitnesstracking,historicalData,10,10
claude-3.5-sonnet,react,fitnesstracking,importDataFromCsv,10,10
claude-3.5-sonnet,react,fitnesstracking,joinFitnessChallenges,10,10
claude-3.5-sonnet,react,fitnesstracking,logMeals,10,10
claude-3.5-sonnet,react,fitnesstracking,logMood,10,10
claude-3.5-sonnet,react,fitnesstracking,logOutdoorActivity,10,10
claude-3.5-sonnet,react,fitnesstracking,logSleepHours,10,10
claude-3.5-sonnet,react,fitnesstracking,logStrengthTraining,10,10
claude-3.5-sonnet,react,fitnesstracking,logWaterIntake,10,10
claude-3.5-sonnet,react,fitnesstracking,logWeight,10,10
claude-3.5-sonnet,react,fitnesstracking,logYogaSession,10,10
claude-3.5-sonnet,react,fitnesstracking,monthlySummary,10,10
claude-3.5-sonnet,react,fitnesstracking,predictFutureAchievements,10,10
claude-3.5-sonnet,react,fitnesstracking,provideSuggestionsForGoals,10,10
claude-3.5-sonnet,react,fitnesstracking,provideWeatherUpdates,10,10
claude-3.5-sonnet,react,fitnesstracking,setCalorieIntakeGoal,10,10
claude-3.5-sonnet,react,fitnesstracking,setDailyGoal,10,10
claude-3.5-sonnet,react,fitnesstracking,setTargetHeartRateZone,10,10
claude-3.5-sonnet,react,fitnesstracking,setWeightGoal,10,10
claude-3.5-sonnet,react,fitnesstracking,summarizeStrengthTrainingProgress,10,10
claude-3.5-sonnet,react,fitnesstracking,syncDataFromWearable,10,10
claude-3.5-sonnet,react,fitnesstracking,totalDistanceCovered,10,10
claude-3.5-sonnet,react,fitnesstracking,totalYogaDuration,10,10
claude-3.5-sonnet,react,fitnesstracking,trackMoodChanges,10,10
claude-3.5-sonnet,react,fitnesstracking,trackProgressInChallenges,10,10
claude-3.5-sonnet,react,fitnesstracking,trackRouteUsingGps,10,10
claude-3.5-sonnet,react,fitnesstracking,trackWaterIntake,10,10
claude-3.5-sonnet,react,fitnesstracking,trackWorkoutIntensity,10,10
claude-3.5-sonnet,react,fitnesstracking,viewProgress,10,10
claude-3.5-sonnet,react,fitnesstracking,weeklyAverageSleep,10,10
claude-3.5-sonnet,react,fitnesstracking,workoutReminder,10,10
claude-3.5-sonnet,react,inventorymanagement,addNewProductToCatalog,10,10
claude-3.5-sonnet,react,inventorymanagement,addNewSupplier,10,10
claude-3.5-sonnet,react,inventorymanagement,alertOnSupplierContractExpiration,10,10
claude-3.5-sonnet,react,inventorymanagement,analyzeInventoryTurnover,10,10
claude-3.5-sonnet,react,inventorymanagement,applyDiscountsOnOrders,10,10
claude-3.5-sonnet,react,inventorymanagement,deleteProductFromCatalog,10,10
claude-3.5-sonnet,react,inventorymanagement,deleteSupplier,10,10
claude-3.5-sonnet,react,inventorymanagement,editProductDetails,10,0
claude-3.5-sonnet,react,inventorymanagement,editSupplierDetails,10,0
claude-3.5-sonnet,react,inventorymanagement,filterProductsByCategory,10,0
claude-3.5-sonnet,react,inventorymanagement,filterProductsBySupplier,10,0
claude-3.5-sonnet,react,inventorymanagement,generateInvoiceForSalesOrder,10,0
claude-3.5-sonnet,react,inventorymanagement,generatePurchaseOrderReceipt,10,0
claude-3.5-sonnet,react,inventorymanagement,generateSupplierPaymentHistory,10,10
claude-3.5-sonnet,react,inventorymanagement,generateSupplierPerformanceReport,10,10
claude-3.5-sonnet,react,inventorymanagement,handleBackorders,10,10
claude-3.5-sonnet,react,inventorymanagement,handleReturns,10,10
claude-3.5-sonnet,react,inventorymanagement,inventoryPerformanceReport,10,10
claude-3.5-sonnet,react,inventorymanagement,linkProductToSupplier,10,10
claude-3.5-sonnet,react,inventorymanagement,manageMultipleWarehouses,10,10
claude-3.5-sonnet,react,inventorymanagement,manageOrderCancellations,10,10
claude-3.5-sonnet,react,inventorymanagement,manageStockTransfers,10,10
claude-3.5-sonnet,react,inventorymanagement,manageSupplierContacts,10,10
claude-3.5-sonnet,react,inventorymanagement,monitorStockExpirationDates,10,10
claude-3.5-sonnet,react,inventorymanagement,monitorStockLevels,10,10
claude-3.5-sonnet,react,inventorymanagement,processPurchaseOrder,10,10
claude-3.5-sonnet,react,inventorymanagement,processSalesOrder,10,10
claude-3.5-sonnet,react,inventorymanagement,profitMarginReport,10,10
claude-3.5-sonnet,react,inventorymanagement,purchaseReport,10,10
claude-3.5-sonnet,react,inventorymanagement,rateSupplierPerformance,10,10
claude-3.5-sonnet,react,inventorymanagement,receiveAutomatedReorderAlerts,10,10
claude-3.5-sonnet,react,inventorymanagement,reorderReport,10,10
claude-3.5-sonnet,react,inventorymanagement,salesReport,10,10
claude-3.5-sonnet,react,inventorymanagement,searchProductByName,10,0
claude-3.5-sonnet,react,inventorymanagement,searchProductBySKU,10,0
claude-3.5-sonnet,react,inventorymanagement,setReorderLevel,10,10
claude-3.5-sonnet,react,inventorymanagement,setStockThresholds,10,10
claude-3.5-sonnet,react,inventorymanagement,sortProductsByName,10,10
claude-3.5-sonnet,react,inventorymanagement,sortProductsByStockLevel,10,10
claude-3.5-sonnet,react,inventorymanagement,stockLevelReport,10,10
claude-3.5-sonnet,react,inventorymanagement,totalInventoryValue,10,10
claude-3.5-sonnet,react,inventorymanagement,totalPurchaseValue,10,10
claude-3.5-sonnet,react,inventorymanagement,totalSalesValue,10,10
claude-3.5-sonnet,react,inventorymanagement,trackDamagedStock,10,10
claude-3.5-sonnet,react,inventorymanagement,trackInventoryByLocation,10,10
claude-3.5-sonnet,react,inventorymanagement,trackOrderShipmentStatus,10,10
claude-3.5-sonnet,react,inventorymanagement,trackPurchaseOrders,10,10
claude-3.5-sonnet,react,inventorymanagement,trackSalesOrders,10,10
claude-3.5-sonnet,react,inventorymanagement,trackSupplierOrders,10,10
claude-3.5-sonnet,react,inventorymanagement,viewProductDetails,10,10
claude-3.5-sonnet,react,jobboard,anonymousApplications,10,10
claude-3.5-sonnet,react,jobboard,applicationNotifications,10,10
claude-3.5-sonnet,react,jobboard,applicationStatusTracking,10,0
claude-3.5-sonnet,react,jobboard,applicationWithLinkedIn,10,10
claude-3.5-sonnet,react,jobboard,applyForJobs,10,10
claude-3.5-sonnet,react,jobboard,bookmarkJobs,10,10
claude-3.5-sonnet,react,jobboard,bulkJobPosting,10,10
claude-3.5-sonnet,react,jobboard,companyProfiles,10,10
claude-3.5-sonnet,react,jobboard,coverLetterAttachments,10,10
claude-3.5-sonnet,react,jobboard,deleteJobPosts,10,10
claude-3.5-sonnet,react,jobboard,duplicateApplicationDetection,10,10
claude-3.5-sonnet,react,jobboard,duplicateJobPostDetection,10,10
claude-3.5-sonnet,react,jobboard,editJobPosts,10,10
claude-3.5-sonnet,react,jobboard,employerApplicationReview,10,10
claude-3.5-sonnet,react,jobboard,employerVerification,10,10
claude-3.5-sonnet,react,jobboard,filterJobPostsByCategory,10,10
claude-3.5-sonnet,react,jobboard,filterJobPostsByLocation,10,10
claude-3.5-sonnet,react,jobboard,highlightKeywords,10,0
claude-3.5-sonnet,react,jobboard,interviewNotifications,10,10
claude-3.5-sonnet,react,jobboard,jobAlerts,10,10
claude-3.5-sonnet,react,jobboard,jobPostAnalytics,10,10
claude-3.5-sonnet,react,jobboard,jobPostCategories,10,10
claude-3.5-sonnet,react,jobboard,jobPostCharacterLimits,10,0
claude-3.5-sonnet,react,jobboard,jobPostComments,10,10
claude-3.5-sonnet,react,jobboard,jobPostExpiration,10,10
claude-3.5-sonnet,react,jobboard,jobPostLocations,10,10
claude-3.5-sonnet,react,jobboard,jobPostRatings,10,10
claude-3.5-sonnet,react,jobboard,jobPostTemplates,10,10
claude-3.5-sonnet,react,jobboard,jobPostValidation,10,0
claude-3.5-sonnet,react,jobboard,jobPostVisibility,10,10
claude-3.5-sonnet,react,jobboard,jobSeekerProfiles,10,10
claude-3.5-sonnet,react,jobboard,postNewJob,10,0
claude-3.5-sonnet,react,jobboard,profileCompletenessMeter,10,10
claude-3.5-sonnet,react,jobboard,profileVisibilityControl,10,10
claude-3.5-sonnet,react,jobboard,rateCandidates,10,10
claude-3.5-sonnet,react,jobboard,rejectingApplications,10,10
claude-3.5-sonnet,react,jobboard,resubmitApplication,10,10
claude-3.5-sonnet,react,jobboard,salaryRangeSpecification,10,10
claude-3.5-sonnet,react,jobboard,saveJobPostsAsDrafts,10,10
claude-3.5-sonnet,react,jobboard,saveJobSearches,10,10
claude-3.5-sonnet,react,jobboard,scheduleInterviews,10,10
claude-3.5-sonnet,react,jobboard,searchJobPosts,10,10
claude-3.5-sonnet,react,jobboard,setupJobAlerts,10,10
claude-3.5-sonnet,react,jobboard,shareJobPost,10,10
claude-3.5-sonnet,react,jobboard,shortlistingCandidates,10,10
claude-3.5-sonnet,react,jobboard,sortJobPosts,10,10
claude-3.5-sonnet,react,jobboard,uploadResumes,10,10
claude-3.5-sonnet,react,jobboard,viewingCompanyProfiles,10,10
claude-3.5-sonnet,react,jobboard,viewJobPosts,10,10
claude-3.5-sonnet,react,jobboard,withdrawJobApplications,10,10
claude-3.5-sonnet,react,musicstreaming,addSongToPlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,addSongToQueue,10,10
claude-3.5-sonnet,react,musicstreaming,albumSearch,10,10
claude-3.5-sonnet,react,musicstreaming,artistSearch,10,10
claude-3.5-sonnet,react,musicstreaming,browseGenres,10,0
claude-3.5-sonnet,react,musicstreaming,continueListening,10,10
claude-3.5-sonnet,react,musicstreaming,createPlaylist,10,1
claude-3.5-sonnet,react,musicstreaming,crossfade,10,10
claude-3.5-sonnet,react,musicstreaming,currentPlaybackTime,10,10
claude-3.5-sonnet,react,musicstreaming,deleteDownloadedSong,10,10
claude-3.5-sonnet,react,musicstreaming,deletePlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,discoverNewArtists,10,10
claude-3.5-sonnet,react,musicstreaming,explicitContentFilter,10,0
claude-3.5-sonnet,react,musicstreaming,filterByArtist,10,4
claude-3.5-sonnet,react,musicstreaming,filterByPopularity,10,0
claude-3.5-sonnet,react,musicstreaming,filterByReleaseDate,10,0
claude-3.5-sonnet,react,musicstreaming,genreSearch,10,10
claude-3.5-sonnet,react,musicstreaming,likeSong,10,10
claude-3.5-sonnet,react,musicstreaming,muteUnmute,10,10
claude-3.5-sonnet,react,musicstreaming,newReleases,10,10
claude-3.5-sonnet,react,musicstreaming,nextSong,10,10
claude-3.5-sonnet,react,musicstreaming,offlineMode,10,10
claude-3.5-sonnet,react,musicstreaming,pauseSong,10,10
claude-3.5-sonnet,react,musicstreaming,playbackQueue,10,10
claude-3.5-sonnet,react,musicstreaming,playbackSpeedControl,10,10
claude-3.5-sonnet,react,musicstreaming,playPlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,playSong,10,10
claude-3.5-sonnet,react,musicstreaming,playSongPreview,10,10
claude-3.5-sonnet,react,musicstreaming,previousSong,10,10
claude-3.5-sonnet,react,musicstreaming,recentlyPlayed,10,10
claude-3.5-sonnet,react,musicstreaming,recommendSongs,10,10
claude-3.5-sonnet,react,musicstreaming,removeSongFromPlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,removeSongFromQueue,10,10
claude-3.5-sonnet,react,musicstreaming,reorderPlaylist,10,0
claude-3.5-sonnet,react,musicstreaming,repeatPlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,repeatSong,10,10
claude-3.5-sonnet,react,musicstreaming,savePlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,searchAutocomplete,10,10
claude-3.5-sonnet,react,musicstreaming,shufflePlay,10,10
claude-3.5-sonnet,react,musicstreaming,skipToSpecificSongInQueue,10,10
claude-3.5-sonnet,react,musicstreaming,songDuration,10,10
claude-3.5-sonnet,react,musicstreaming,songSearch,10,10
claude-3.5-sonnet,react,musicstreaming,sortPlaylists,10,10
claude-3.5-sonnet,react,musicstreaming,sortSongsInPlaylist,10,10
claude-3.5-sonnet,react,musicstreaming,topCharts,10,10
claude-3.5-sonnet,react,musicstreaming,trendingSongs,10,10
claude-3.5-sonnet,react,musicstreaming,unlikeSong,10,10
claude-3.5-sonnet,react,musicstreaming,viewAlbumPage,10,10
claude-3.5-sonnet,react,musicstreaming,viewArtistPage,10,10
claude-3.5-sonnet,react,musicstreaming,volumeControl,10,4
claude-3.5-sonnet,react,newsaggregator,adjustNumberOfArticles,10,10
claude-3.5-sonnet,react,newsaggregator,approveOrRemoveFlaggedArticles,10,10
claude-3.5-sonnet,react,newsaggregator,bookmarkArticle,10,10
claude-3.5-sonnet,react,newsaggregator,categorizeArticles,10,10
claude-3.5-sonnet,react,newsaggregator,categorizeByPreferences,10,10
claude-3.5-sonnet,react,newsaggregator,clearReadingHistory,10,10
claude-3.5-sonnet,react,newsaggregator,commentOnArticle,10,10
claude-3.5-sonnet,react,newsaggregator,copyArticleLink,10,0
claude-3.5-sonnet,react,newsaggregator,deleteArticle,10,10
claude-3.5-sonnet,react,newsaggregator,deleteComment,10,10
claude-3.5-sonnet,react,newsaggregator,displayArticleMetadata,10,10
claude-3.5-sonnet,react,newsaggregator,displayArticlePreviews,10,10
claude-3.5-sonnet,react,newsaggregator,displayArticlesByPreferences,10,10
claude-3.5-sonnet,react,newsaggregator,displayFullArticle,10,0
claude-3.5-sonnet,react,newsaggregator,expandArticlePreview,10,0
claude-3.5-sonnet,react,newsaggregator,fetchArticles,10,10
claude-3.5-sonnet,react,newsaggregator,filterByExcludedCategories,10,10
claude-3.5-sonnet,react,newsaggregator,filterByExcludedSources,10,10
claude-3.5-sonnet,react,newsaggregator,filterByKeyword,10,10
claude-3.5-sonnet,react,newsaggregator,filterBySelectedCategories,10,10
